Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
54.87726163864136	0	-237.06142	139.15262	32.973656	-546.82166	120.44744744744744	72.50449567360546	40109	40109
87.23325490951538	1	-158.46687	100.57127	18.094711	-516.612	105.70448548812665	18.970251838455734	40062	80171
119.93302154541016	2	-111.25296	74.82055	73.42678	-449.6242	100.29573934837093	66.1568180032339	40018	120189
153.43440914154053	3	-100.61042	68.03757	68.61476	-479.79868	89.49664429530202	33.881347939241756	40005	160194
183.81504487991333	4	-86.742004	47.327477	98.387955	-313.78918	86.26508620689656	62.232711115226124	40027	200221
214.36742424964905	5	-76.175186	27.97806	31.970245	-284.61963	85.57692307692308	45.75329213247824	40050	240271
245.39516472816467	6	-65.87015	36.778896	32.595448	-392.49997	86.84381778741866	25.27337537795453	40035	280306
283.3581416606903	7	-59.108307	39.063427	42.966156	-288.53204	97.61219512195122	57.06387817825227	40021	320327
