Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
50.620339155197144	0	-325.19324	182.33679	45.87568	-866.31793	123.90402476780186	63.78238022483089	40021	40021
90.96469807624817	1	-229.42876	139.53888	25.600098	-602.3813	108.4390243902439	27.50692832402872	40014	80035
125.07281351089478	2	-164.11732	113.82403	63.462303	-633.01154	97.32603406326034	20.854396832316095	40001	120036
157.59094214439392	3	-143.58202	89.261406	41.278687	-502.49225	87.85087719298245	17.11338988235879	40060	160096
190.20346212387085	4	-131.05928	77.5834	92.009735	-508.985	84.4746835443038	44.77869153534028	40041	200137
221.51650261878967	5	-122.56887	67.02827	34.21637	-413.78317	81.1501014198783	14.932498048260928	40007	240144
252.92493653297424	6	-116.31062	59.720127	15.385101	-431.44812	81.21703853955376	14.004184891495402	40040	280184
285.38563537597656	7	-109.72824	65.27808	82.83305	-466.52884	83.475	44.34969231385189	40068	320252
317.2999544143677	8	-100.34788	56.986263	36.226135	-356.56976	81.66734693877551	13.635396430555623	40017	360269
350.09695768356323	9	-97.622185	57.398746	56.151047	-404.81308	84.23789473684211	15.706794902021953	40013	400282
382.5382330417633	10	-95.396324	62.905037	43.87439	-403.64737	85.6880341880342	13.952487523785688	40102	440384
416.6761498451233	11	-89.964905	67.675354	24.13198	-503.66666	86.87418655097613	14.644352358796297	40049	480433
453.42574191093445	12	-79.1627	59.00193	101.50896	-341.3678	96.5132530120482	65.00105054032299	40053	520486
491.70777893066406	13	-82.83505	76.01176	141.30763	-587.92236	101.11111111111111	79.93746152669029	40040	560526
530.2681238651276	14	-79.124664	78.240906	108.81041	-512.90314	104.46736292428199	81.34501421052221	40011	600537
576.5896127223969	15	-68.93605	76.52148	98.08763	-398.5327	117.88235294117646	111.31398746890873	40080	640617
625.4617855548859	16	-73.342964	97.322685	174.18523	-536.84863	129.20322580645163	143.55686966601024	40053	680670
679.8375251293182	17	-67.39746	87.25481	184.2957	-533.6607	144.52707581227438	168.9044230934957	40034	720704
744.7217855453491	18	-68.44838	96.87191	184.10744	-588.8461	168.8388429752066	213.78537080963937	40859	761563
808.916003704071	19	-71.68794	108.04402	174.19473	-516.36383	166.04564315352698	204.05625798521007	40017	801580
869.8271880149841	20	-68.14223	98.77825	174.92543	-421.33163	169.67796610169492	204.55411953708506	40044	841624
942.2976861000061	21	-64.01259	123.420685	194.84921	-687.76855	213.24468085106383	273.81068495424154	40090	881714
1011.6197998523712	22	-51.626606	96.03376	161.1352	-417.96054	182.17727272727274	224.7143852494017	40079	921793
1088.6322963237762	23	-48.539875	105.02586	177.07669	-510.65167	225.30555555555554	280.1116661702817	40555	962348
1163.3083686828613	24	-38.22316	101.5044	172.5158	-348.46277	233.0174418604651	289.2067634433242	40079	1002427
1251.3900146484375	25	-28.309004	102.363686	155.47604	-395.38995	296.74074074074076	339.8331608732157	40060	1042487
1330.3763501644135	26	-30.478678	90.52041	167.15886	-369.99872	227.39444444444445	283.29724274498966	40931	1083418
1412.614023923874	27	-28.763922	95.129036	172.2143	-514.8688	238.8095238095238	288.1817786195801	40120	1123538
