Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
44.571858167648315	0	-325.19324	182.33679	45.87568	-866.31793	123.90402476780186	63.78238022483089	40021	40021
81.16797828674316	1	-229.42876	139.53888	25.600098	-602.3813	108.4390243902439	27.50692832402872	40014	80035
118.15244889259338	2	-164.11725	113.82401	63.474663	-633.0115	97.32603406326034	20.854396832316095	40001	120036
152.59909534454346	3	-143.59839	89.2711	41.273514	-502.49188	87.85087719298245	17.11338988235879	40060	160096
184.46572947502136	4	-131.8762	73.891846	66.86043	-428.00897	84.0964360587002	15.05542269408215	40114	200210
215.8307909965515	5	-122.16242	67.414955	45.972397	-407.96707	80.43373493975903	15.019285677925053	40056	240266
249.93807744979858	6	-119.73047	62.496437	38.787796	-429.9872	81.20486815415822	14.10798030006127	40034	280300
284.83875346183777	7	-111.04952	66.84527	112.658905	-537.6594	82.42592592592592	44.0844408909698	40059	320359
316.7528455257416	8	-107.516235	62.93274	33.878983	-435.02524	82.31893004115226	13.381361480401754	40007	360366
352.4331419467926	9	-95.37353	61.819195	107.53349	-443.29993	88.54203539823008	62.53162388134252	40021	400387
388.94388127326965	10	-97.26695	74.39015	108.1823	-477.77087	95.99760191846522	64.63902715217534	40031	440418
423.50811767578125	11	-95.57341	77.35874	43.30095	-463.91016	95.52505966587113	24.431311674807212	40025	480443
464.50654888153076	12	-86.101166	75.91615	140.79329	-440.8895	107.54155495978553	73.02488844336943	40113	520556
517.9483685493469	13	-92.22267	95.76078	117.64995	-374.48764	131.86513157894737	139.22583734419848	40087	560643
573.8591845035553	14	-103.45841	103.483795	125.56809	-446.44666	132.5974025974026	117.37848203653662	40840	601483
640.0506303310394	15	-81.82012	98.590164	152.73567	-439.25418	180.5	207.4335832054237	40071	641554
724.2377479076385	16	-95.37299	123.02151	130.0255	-607.2976	205.18974358974359	247.4850317098937	40012	681566
810.3044502735138	17	-95.21359	126.83056	138.04886	-695.1911	223.7094972067039	261.97691584363446	40044	721610
885.9195513725281	18	-78.01821	107.27118	157.71222	-358.36728	223.6759776536313	255.25070605677064	40038	761648
962.0015404224396	19	-83.0278	118.73708	145.05621	-524.0087	233.96491228070175	261.51110348966847	40008	801656
1043.350259065628	20	-73.44291	115.44799	150.23769	-376.28064	252.92546583850933	282.32307278369086	40721	842377
1131.2348997592926	21	-56.72399	121.80865	135.22478	-567.02734	278.4761904761905	308.65134179791085	40936	883313
1221.9220132827759	22	-27.485968	101.67708	165.5084	-475.4209	320.632	347.7000669772728	40079	923392
1313.1378962993622	23	-34.802296	111.18454	173.83293	-390.06982	328.13709677419354	351.5134176918112	40689	964081
1394.9991126060486	24	-26.1136	119.68824	165.74979	-498.81955	343.1025641025641	353.72741411671626	40143	1004224
1474.7634410858154	25	-2.9649224	93.40415	170.02237	-394.11438	328.5853658536585	354.7047765184856	40416	1044640
1555.9520981311798	26	-12.11366	91.68553	171.11992	-282.43057	318.453125	342.79334744527114	40762	1085402
1635.3882865905762	27	-13.146082	96.698875	176.59088	-346.34225	304.6691729323308	335.20871563050724	40521	1125923
1704.6254262924194	28	-6.9651284	83.58203	171.99039	-277.06262	274.97278911564626	305.29887097746035	40421	1166344
1777.5978167057037	29	-3.9815598	75.80536	183.21777	-336.4832	276.17931034482757	314.9689786359486	40046	1206390
1853.1316256523132	30	4.885574	86.29531	179.5076	-247.45436	334.26229508196724	355.6484450228787	40780	1247170
1930.120053768158	31	13.818103	74.028145	191.68155	-245.79488	328.6290322580645	348.47190537337065	40750	1287920
2009.6425187587738	32	24.990705	77.39976	202.64326	-156.14456	378.72222222222223	370.31260151324335	40902	1328822
2091.234787464142	33	14.005568	82.386925	191.48291	-240.2973	374.7570093457944	364.6328800550277	40099	1368921
2180.2243041992188	34	33.697857	88.00382	181.36887	-234.91129	512.0632911392405	404.1549816082793	40453	1409374
2270.7421023845673	35	32.105167	104.88943	186.0403	-227.0462	546.418918918919	397.9105225630491	40435	1449809
2366.0951018333435	36	52.956707	87.89399	166.47731	-199.27916	708.5964912280701	382.6121603541195	40390	1490199
2469.252104282379	37	25.98853	104.589775	178.94234	-222.50525	619.060606060606	387.729477654275	40858	1531057
2573.921546459198	38	61.638348	101.777405	174.58415	-261.20624	757.9811320754717	357.49397622928956	40173	1571230
2683.89751124382	39	52.69025	105.77031	160.24432	-316.01288	815.68	317.5666506420345	40784	1612014
2790.92489862442	40	19.834375	113.01139	169.2405	-236.98059	709.421052631579	346.8021301138786	40437	1652451
2902.7438111305237	41	29.818176	115.79527	175.8824	-310.61673	786.25	329.1280949487834	40885	1693336
3017.3757512569427	42	31.505026	116.89905	171.06332	-266.05634	787.9615384615385	316.50926353793415	40974	1734310
3138.1347999572754	43	59.300022	75.99921	162.89523	-179.12721	864.0	278.61442891566116	40608	1774918
3253.228699684143	44	39.97164	101.62246	165.47263	-250.88507	834.9166666666666	296.6943456188915	40076	1814994
3370.3040783405304	45	57.504948	92.87845	160.30878	-235.40839	838.5833333333334	307.0725235546518	40252	1855246
3482.492356300354	46	65.07915	92.46194	175.5469	-232.79947	924.2727272727273	214.57170486558945	40668	1895914
3592.3882932662964	47	67.2546	105.933464	173.0749	-232.26822	835.9583333333334	305.5507294442101	40126	1936040
3698.2928805351257	48	87.20104	60.892597	167.56685	-70.87706	839.0208333333334	314.67168668201714	40273	1976313
3802.954131603241	49	88.888466	69.063934	172.91444	-127.36057	831.0612244897959	319.83480481963005	40722	2017035
3899.47980761528	50	96.947	61.648777	190.3067	-45.323654	792.5294117647059	355.1712292347517	40419	2057454
3988.4675006866455	51	78.439964	71.50601	183.85298	-101.992966	701.8947368421053	390.74241904670987	40008	2097462
4081.9869151115417	52	79.25362	68.78286	184.9394	-51.836693	648.952380952381	405.5525499220778	40884	2138346
4179.758298397064	53	99.91312	60.54619	183.66644	-19.816772	778.0192307692307	365.7938937531634	40457	2178803
