Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
4.40552282333374	0	23.753555	15.169062	111.0	9.0	23.753554502369667	15.169060684744327	5012	5012
6.413545846939087	1	24.895523	13.558205	114.0	8.0	24.895522388059703	13.558204354711785	5004	10016
8.452781200408936	2	29.01724	15.739428	92.0	10.0	29.017241379310345	15.739427810194078	5049	15065
10.495469570159912	3	32.764706	19.668083	144.0	11.0	32.76470588235294	19.668083932276918	5013	20078
12.487517833709717	4	35.524822	21.196005	152.0	11.0	35.52482269503546	21.196005765935144	5009	25087
14.42885947227478	5	40.088	20.606802	135.0	8.0	40.088	20.60680120736841	5011	30098
16.417173147201538	6	40.288	20.969624	118.0	13.0	40.288	20.9696222188193	5036	35134
18.386130571365356	7	47.904762	23.064928	157.0	17.0	47.904761904761905	23.064928564927648	5030	40164
20.412994146347046	8	51.948452	25.73712	133.0	14.0	51.94845360824742	25.737121144859373	5039	45203
22.402984619140625	9	54.695652	29.265923	192.0	13.0	54.69565217391305	29.2659243647368	5032	50235
27.67931580543518	10	56.202248	31.54992	184.0	15.0	56.20224719101124	31.54991756440766	5002	55237
29.267069578170776	11	58.162792	26.983139	160.0	14.0	58.16279069767442	26.983138776994014	5002	60239
30.89589262008667	12	65.64935	31.122618	154.0	19.0	65.64935064935065	31.12261725454896	5055	65294
32.74403667449951	13	61.207317	31.011694	175.0	12.0	61.207317073170735	31.011696379174403	5019	70313
34.6377534866333	14	64.28205	30.592396	167.0	12.0	64.28205128205128	30.592397847319067	5014	75327
36.52514600753784	15	72.41428	37.965584	200.0	21.0	72.41428571428571	37.96558323276599	5069	80396
38.39438080787659	16	72.478264	38.994095	200.0	23.0	72.47826086956522	38.99409420005383	5001	85397
40.256213903427124	17	79.666664	35.844463	200.0	26.0	79.66666666666667	35.84446117359552	5019	90416
42.15968108177185	18	90.01786	42.275665	200.0	24.0	90.01785714285714	42.27566467815251	5041	95457
43.97618532180786	19	84.03333	39.32089	200.0	14.0	84.03333333333333	39.32088786157075	5042	100499
55.64587163925171	20	94.64151	45.814266	200.0	20.0	94.64150943396227	45.81426585914234	5016	105515
57.226704120635986	21	112.63043	45.163643	195.0	27.0	112.6304347826087	45.16364385097731	5181	110696
58.83170223236084	22	108.23404	54.471237	200.0	21.0	108.23404255319149	54.471234948817276	5087	115783
60.784568548202515	23	138.94595	60.631786	200.0	28.0	138.94594594594594	60.631784522438856	5141	120924
62.4901967048645	24	140.5	51.434696	200.0	35.0	140.5	51.43469430042117	5058	125982
64.09126591682434	25	155.60606	48.090786	200.0	21.0	155.6060606060606	48.090784976258085	5135	131117
65.67961049079895	26	147.48572	47.035168	200.0	39.0	147.4857142857143	47.03516704313391	5162	136279
67.30736804008484	27	148.20589	39.725365	200.0	88.0	148.2058823529412	39.72536559026583	5039	141318
69.10781574249268	28	158.0	43.92536	200.0	54.0	158.0	43.92536283287823	5056	146374
71.14320421218872	29	167.35484	41.322144	200.0	84.0	167.3548387096774	41.322139958869954	5188	151562
