Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
60.077558517456055	0	-325.19324	182.33679	45.87568	-866.31793	123.90402476780186	63.78238022483089	40021	40021
103.08143949508667	1	-233.96912	147.65085	76.40271	-588.67523	110.29201101928375	71.34665010798146	40036	80057
139.73208737373352	2	-171.50754	112.19818	60.97838	-570.114	94.12470588235294	21.349549690153147	40003	120060
171.34192848205566	3	-141.53734	84.728806	34.216293	-639.3969	84.32	17.15498147692629	40052	160112
202.63376593589783	4	-131.18405	68.76391	41.728897	-537.14856	79.7191235059761	15.198775664568437	40019	200131
235.6644480228424	5	-130.08563	65.15416	48.735916	-431.73083	78.90335305719921	14.314050441404023	40004	240135
268.26792216300964	6	-120.38371	58.537468	32.925842	-525.994	77.78446601941748	13.283983766734464	40059	280194
299.3030767440796	7	-113.84535	59.65034	44.927856	-403.4529	79.03944773175543	14.183164384693718	40073	320267
331.9808614253998	8	-109.36348	57.948174	44.542175	-382.982	81.08502024291498	13.928564797109662	40056	360323
361.72178077697754	9	-99.23571	58.162807	36.356262	-468.1542	83.61377870563675	14.505455676581374	40051	400374
401.6133236885071	10	-95.85619	62.482353	58.792053	-348.1787	86.63419913419914	15.49131719194007	40025	440399
438.86166548728943	11	-87.73779	59.954067	43.52014	-348.6538	93.42191142191142	46.59343156366501	40078	480477
477.74419474601746	12	-85.51649	66.67252	44.04509	-614.6112	93.96478873239437	15.842421792192978	40029	520506
519.6328997612	13	-82.19549	75.28312	121.75087	-449.86722	107.54155495978553	82.13261045077512	40113	560619
560.3657248020172	14	-84.46617	87.16442	122.8255	-506.14532	119.0952380952381	109.8325694439386	40016	600635
613.1771280765533	15	-89.666695	112.51702	163.98889	-626.24255	135.70508474576272	136.20076585031802	40033	640668
691.6431617736816	16	-73.90386	104.97152	161.34126	-515.4743	191.5142857142857	235.42838823386307	40218	680886
